type, food, recipe, meal
salmon,maple salmon,"1/4 cup maple syrup,2 tablespoons soy sauce,1 clove garlic, minced,1/4 teaspoon garlic salt,1/8 teaspoon ground black pepper,1 pound salmon",dinner
salmon,firecracker grilled alaska salmon,"8 (4 ounce) fillets salmon,1/2 cup peanut oil,4 tablespoons soy sauce,4 tablespoons balsamic vinegar,4 tablespoons green onions, chopped,3 teaspoons brown sugar,2 cloves garlic, minced,1 1/2 teaspoons ground ginger,2 teaspoons crushed red pepper flakes,1 teaspoon sesame oil,1/2 teaspoon salt",dinner
salmon,baked salmon ii,"2 cloves garlic, minced,6 tablespoons light olive oil,1 teaspoon dried basil,1 teaspoon salt,1 teaspoon ground black pepper,1 tablespoon lemon juice,1 tablespoon fresh parsley, chopped,2 (6 ounce) fillets salmon",dinner
salmon,super simple salmon,"1 tablespoon garlic powder,1 tablespoon dried basil,1/2 teaspoon salt,4 (6 ounce) salmon,2 tablespoons butter,4 lemon wedges",dinner
salmon,blackened salmon fillets,"2 tablespoons ground paprika,1 tablespoon ground cayenne pepper,1 tablespoon onion powder,2 teaspoons salt,1/2 teaspoon ground white pepper,1/2 teaspoon ground black pepper,1/4 teaspoon dried thyme,1/4 teaspoon dried basil,1/4 teaspoon dried oregano,4 salmon fillets, skin and bones removed,1/2 cup unsalted butter, melted",dinner
salmon,grilled salmon ii,"4 (4 ounce) fillets salmon,1/4 cup peanut oil,2 tablespoons soy sauce,2 tablespoons balsamic vinegar,2 tablespoons thinly sliced green onion,1 1/2 teaspoons brown sugar,1 clove garlic, minced,3/4 teaspoon ground ginger,1/2 teaspoon crushed red pepper flakes,1/2 teaspoon sesame oil,1/8 teaspoon salt",dinner
salmon,salmon with brown sugar glaze,"1/4 cup packed light brown sugar,2 tablespoons Dijon mustard,4 (6 ounce) boneless salmon fillets,salt and ground black pepper to taste",dinner
salmon,baked dijon salmon,"1/4 cup butter, melted,3 tablespoons Dijon mustard,1 1/2 tablespoons honey,1/4 cup dry bread crumbs,1/4 cup finely chopped pecans,4 teaspoons chopped fresh parsley,4 (4 ounce) fillets salmon,salt and pepper to taste,1 lemon, for garnish",dinner
salmon,chef johns salmon,"2 (8 ounce) center-cut salmon fillets, with skin,1/4 teaspoon kosher salt,1 teaspoon vegetable oil,1 clove garlic, sliced,1 tablespoon chopped fresh tarragon,1 tablespoon chopped fresh flat-leaf parsley,3 tablespoons mayonnaise,1 teaspoon Dijon mustard,1 teaspoon fresh lemon juice,1 pinch cayenne pepper",dinner
salmon,lemon pepper salmon ii,"4 (4 ounce) salmon fillets,2 tablespoons butter, melted,2 tablespoons soy sauce,lemon pepper to taste",dinner
salmon,fast salmon with a ginger glaze,"4 (8 ounce) fresh salmon fillets,salt to taste,1/3 cup cold water,1/4 cup seasoned rice vinegar,2 tablespoons brown sugar,1 tablespoon hot chile paste (such as sambal oelek),1 tablespoon finely grated fresh ginger,4 cloves garlic, minced,1 teaspoon soy sauce,1/4 cup chopped fresh basil",dinner
salmon,salmon with lemon and dill,"1 pound salmon fillets,1/4 cup butter, melted,5 tablespoons lemon juice,1 tablespoon dried dill weed,1/4 teaspoon garlic powder,sea salt to taste,freshly ground black pepper to taste",dinner
tiramisu,tiramisu,"6 egg yolks,1 cup white sugar, divided,1 pound mascarpone cheese,6 egg whites, stiffly beaten,1/4 cup heavy cream,3 tablespoons kirschwasser,1 1/4 cups strong brewed coffee, cold,25 ladyfingers,1 tablespoon unsweetened cocoa powder",dessert
tiramisu,tiramisu ii,"6 egg yolks,3/4 cup white sugar,2/3 cup milk,1 1/4 cups heavy cream,1/2 teaspoon vanilla extract,1 pound mascarpone cheese,1/4 cup strong brewed coffee, room temperature,2 tablespoons rum,2 (3 ounce) packages ladyfinger cookies,1 tablespoon unsweetened cocoa powder",dessert
tiramisu,classic tiramisu,"6 egg yolks,1 1/4 cups white sugar,1 1/4 cups mascarpone cheese,1 3/4 cups heavy whipping cream,2 (12 ounce) packages ladyfingers,1/3 cup coffee flavored liqueur,1 teaspoon unsweetened cocoa powder, for dusting,1 (1 ounce) square semisweet chocolate",dessert
tiramisu,authentic tiramisu,"1/2 cup white sugar,3 eggs, separated,2 tablespoons brandy,2 cups brewed espresso, cooled, divided,2 (8 ounce) packages mascarpone cheese,1 pinch white sugar,30 ladyfingers (such as Savoiardi®),3 tablespoons unsweetened cocoa powder",dessert
tiramisu,chef johns tiramisu,"1/2 cup brewed espresso,3 tablespoons Marsala wine, divided,2 eggs, separated,2 tablespoons white sugar,1 teaspoon white sugar,3/4 cup mascarpone cheese,1/2 teaspoon vanilla extract,1 pinch salt,10 ladyfinger cookies, broken in half, or more as needed,1 tablespoon cocoa powder,1/2 ounce dark chocolate, grated",dessert
tiramisu,tiramisu toffee dessert,"1 (10.75 ounce) package frozen prepared pound cake, thawed and cut into 9 slices,3/4 cup strong brewed coffee,1 (8 ounce) package cream cheese,1 cup white sugar,1/2 cup chocolate syrup,2 cups heavy whipping cream,2 (1.4 ounce) bars chocolate covered English toffee, chopped",dessert
tiramisu,tiramisu dip,"1 cup heavy whipping cream,2 teaspoons instant coffee granules,1 (8 ounce) container mascarpone cheese,1/2 cup confectioners' sugar,1/2 teaspoon vanilla extract,2 tablespoons grated semisweet chocolate",dessert
tiramisu,tiramisu iii,"5 egg yolks,1/4 cup white sugar,1/2 cup Marsala wine,1 cup heavy cream, chilled,2 tablespoons white sugar,1 pound mascarpone cheese,2 cups strong brewed coffee, room temperature,2 tablespoons white sugar,1/2 cup brandy,1 tablespoon vanilla extract,48 ladyfinger cookies,3 tablespoons unsweetened cocoa powder",dessert
tiramisu,chocolate tiramisu,"6 egg yolks,3/4 cup white sugar,1/3 cup evaporated milk,1/3 cup chocolate milk,1/2 cup heavy whipping cream,3 tablespoons confectioners' sugar,1 teaspoon vanilla extract,1 (8 ounce) container mascarpone cheese,1/2 cup strong brewed coffee, room temperature,1 1/2 teaspoons coconut-flavored rum (such as Malibu®),1 1/2 teaspoons coffee-flavored liqueur (such as Kahlua®),10 ladyfingers, split lengthwise,1 tablespoon Marsala wine (such as Cremovo®),1 tablespoon unsweetened cocoa powder (optional),1 tablespoon 70% cacao chocolate shavings (optional)",dessert
tiramisu,pumpkin tiramisu,"1 pint heavy whipping cream,1/8 teaspoon cream of tartar (optional),2 (8 ounce) containers mascarpone cheese,3 cups confectioners' sugar,1 (29 ounce) can pumpkin puree,1 tablespoon ground cinnamon,2 teaspoons ground ginger,2 teaspoons ground nutmeg,1 teaspoon ground cloves,1 cup brewed coffee, cooled,1 tablespoon rum, or more to taste,36 ladyfingers",dessert
tiramisu,simple tiramisu,"16 ladyfingers,2/3 cup strong brewed coffee, room temperature,1/3 cup maple syrup,1 (3 ounce) package cream cheese, softened,1/2 cup sour cream,1/2 cup maple syrup,1 (12 ounce) container frozen whipped topping, thawed,1 tablespoon unsweetened cocoa powder, for dusting",dessert
tiramisu,tiramisu i,"6 eggs, separated,3 tablespoons white sugar,1 pound mascarpone cheese,2 tablespoons brandy,1 teaspoon vanilla extract,1 1/2 cups strong brewed coffee, room temperature,30 ladyfinger cookies,8 ounces finely chopped bittersweet chocolate",dessert
tiramisu,tropical tiramisu,"1 (8 ounce) package cream cheese,1/4 cup honey,2 tablespoons pineapple juice concentrate, thawed,3 cups leftover bunny cake, cubed,1/2 cup mango nectar,1/2 teaspoon rum flavored extract,1/4 cup chopped crystallized ginger,1/4 cup chopped macadamia nuts,1/2 cup sliced fresh mango, garnish",dessert
tiramisu,twinkie tiramisu,"1 (8 ounce) container mascarpone cheese,4 teaspoons white sugar,1 teaspoon vanilla extract,1 egg yolk,4 cream-filled sponge snack cakes (such as Twinkies™),6 tablespoons coffee flavored liqueur",dessert
tiramisu,rich tiramisu,"1 cup strong brewed coffee,1/4 cup milk,1/4 cup white sugar, divided,3 tablespoons rum, divided,36 ladyfingers,2 egg yolks,9 ounces mascarpone cheese,2 egg whites,1/8 teaspoon unsweetened cocoa powder",dessert
